"		lfd. Nummer";Veroeffentlichungs-Nummer;Anmeldedatum;Erfinder;Anmelder/Inhaber;Titel;Zusammenfassung;Länderkürzel;Land;Prozessstand;Anmelderländerkürzel;Anmelderland
2537;WO002019147795A1;24.01.2019;TURATO JOHN, US;AVIS BUDGET CAR RENTAL LLC, US; [EN] DRONE USAGE IN CONNECTED USER AND CONNECTED FLEET COMMUNICATION AND INTERFACE SYSTEMS  [FR] UTILISATION DE DRONE DANS DES SYSTÈMES D'INTERFACE ET DE COMMUNICATION D'UTILISATEUR CONNECTÉ ET DE PARC ...; [EN]  A system and related methods for management of communications and interactions between a user and a connected fleet of vehicles. Fleet vehicle reservations and rental transaction systems are blockchain-based systems, which incorporate customer interaction, including payments through customary payment channels and/or cryptocurrency, through customer personal computers and/or mobile devices. One or more unmanned aerial vehicles (drones) may be used to respond to accidents to fleet vehicles on the road, and document with digital images damage to the fleet vehicle or other vehicles, as well as road conditions and environmental factors. <br /> [FR]  L'invention concerne un système et des procédés associés pour la gestion de communications et d'interactions entre un utilisateur et un parc connecté de véhicules. Des systèmes de réservations et de transactions de location de véhicules du parc consistent en des systèmes basés sur une chaîne de blocs, qui intègrent une interaction client, ...;WO;;A;US;USA
2538;WO002019147744A1;24.01.2019;"NAQVI SHAMIM A, US; PUPPALA GOUTHAM, US; RAUCCI ROBERT FRANK, US";SENSORIANT INC, US; [EN] CONSISTENCY AND CONSENSUS MANAGEMENT IN DECENTRALIZED AND DISTRIBUTED SYSTEMS  [FR] GESTION DE COHÉRENCE ET DE CONSENSUS DANS DES SYSTÈMES DÉCENTRALISÉS ET DISTRIBUÉS; [EN]  A method for achieving consensus amongst a distributed and decentralized set of computers, devices or components in a network interacting via messaging is presented. The method does not rely on the availability of an overall ledger that is consulted for every interaction. Rather, the interacting components communicate directly with each other via messages that contain proofs of consistency that may be used to achieve local consistency amongst the interacting components. Local consistency guarantees global consistency. For regulatory and record keeping purposes, use of an overall ledger may be contemplated for regulatory and record keeping purposes. The latter may be updated by the interacting devices via an asynchronous updating mechanism. <br /> [FR]  L'invention concerne un procédé permettant d'atteindre un consensus dans un ensemble distribué et décentralisé d'ordinateurs, de dispositifs, ou de composants d'un réseau interagissant par messagerie. Le procédé ne repose pas sur ...;WO;;A;US;USA
2539;WO002019147665A2;23.01.2019;"GANESAN DHIVYA, US; HEENEY CHRISTOPHER R, US; JURICH JOSEPH, US; LEWIS STEVEN, US; MCSORLEY RICHARD C, US; NORTHRUP JENNIFER, US; RAO VINAY, US; YOUNG DANIEL W, US";WALMART APOLLO LLC, US; [EN] SYSTEM AND METHOD FOR TRACKING VEHICLE MILEAGE USING BLOCKCHAIN  [FR] SYSTÈME ET PROCÉDÉ DE SUIVI DE KILOMÉTRAGE DE VÉHICULE AU MOYEN DE CHAÎNE DE BLOCS;" [EN]  Systems, methods, and computer-readable storage media for identifying, via a processor, a plurality of causes for a vehicle to record data on a blockchain, wherein one cause in the plurality of causes is a repetition of a previous journey. The system generates route comparison data by comparing, via a processor as the vehicle is moving, current journey data for a current journey to previous journey data of at least one previous journey by: comparing a current journey start time to a previous journey start time; comparing a current journey travel time to a previous journey travel time; and comparing current journey route coordinates to previous journey route coordinates. Then based on the route comparison data, the system generates a side block which references the previous block in the block chain but contains only distinctions from the previous block. The side block is then added to the block chain. <br /> [FR]  L'invention concerne des systèmes, des procédés et des supports de ...";WO;;A;US;USA
2540;WO002019147351A1;11.12.2018;"MOCK ED, US; WUERCH RYAN, US";DOSH HOLDINGS INC, US; [EN] MATCHING OFFERS TRANSACTIONS ACROSS HETEROGENEOUS, MULTI-ENTITY DISTRIBUTED COMPUTING PLATFORMS AND SETTLEMENT  [FR] MISE EN CORRESPONDANCE D'OFFRES DE TRANSACTIONS SUR DES PLATES-FORMES INFORMATIQUES ...;" [EN]  A system and method for matching transactions across heterogenous, multi-entity distributed computing platforms are disclosed. In more detail, a system and method for matching and settling offers in a computerized system involves receiving a plurality of created offers, receiving logic for honoring one or more of the plurality of created offers, creating a plurality of tokens and associating each of the plurality of offers with one or more of the created tokens, distributing one or more of the created offers through electronic messages to a plurality of potential customers, receiving an indication that a consumer has selected at least one of the plurality of offers, linking the consumer with a token associated with the selected at least one offer, upon a consumer transaction, deploying the logic for honoring offers to determine whether the selected offer will be honored; and receiving messages related to the propagation or efficacy of the offer. <br /> [FR]  L'invention concerne ...";WO;;A;US;USA
2541;WO002019147339A1;30.11.2018;"ARORA ANKUR, IN; GARG CHANDAN, IN; KODURI ADITYA, IN; KUMAWAT JAIPAL, IN";MASTERCARD INTERNATIONAL INC, US; [EN] METHOD AND SYSTEM FOR FACILITATING ATM TRANSACTIONS USING BLOCKCHAIN  [FR] PROCÉDÉ ET SYSTÈME PERMETTANT DES TRANSACTIONS DE GAB AU MOYEN D'UNE CHAÎNE DE BLOCS;" [EN]  A method for on-bchalf ATM processing via blockchain includes: receiving, by a receiver of an automated teller machine (ATM), a transaction identifier; receiving, by an input device interfaced with the ATM, a withdrawal amount; identifying, by the ATM. a blockchain transaction in one of a plurality of blocks comprising a blockchain. wherein the blockchain transaction includes at least the transaction identifier and a current balance; and processing, by the ATM, withdrawal of the withdrawal amount based on the current balance, where processing includes dispensing, by a dispenser interfaced with the ATM, currency equivalent to the withdrawal amount if the withdrawal amount is less than or equal to the current balance or displaying, by a display device interfaced with the ATM, a message indicating an insufficient balance if the withdrawal amount is greater than the current balance. <br /> [FR]  La présente invention concerne un procédé de traitement pour le compte d'un GAB par l'intermédiaire ...";WO;;A;US;USA
2542;WO002019147335A1;28.11.2018;"DAYAL GAURAV, IN; PATEL ARPIT, IN; SHAH HEMAL, IN";MASTERCARD INTERNATIONAL INC, US; [EN] METHOD AND SYSTEM FOR GENERATING AND USING CONTEXTUAL CRYPTOGRAMS FOR PROXIMITY AND E-COMMERCE PAYMENT  [FR] PROCÉDÉ ET SYSTÈME POUR GÉNÉRER ET UTILISER DES CRYPTOGRAMMES CONTEXTUELS POUR UN PAIEMENT ...;" [EN]  A method for processing contextual cryptograms includes: receiving, by a receiver of a processing server, transaction data for a proposed payment transaction; receiving, by the receiver of the processing server, at least one payment cryptogram and, for each payment cryptogram, an associated identifier; identifying, by the processing server, one or more contextual rules associated with each of the at least one payment cryptograms based on the respective associated identifier; determining, by the processing server, approval or denial of the proposed payment transaction based on the received transaction data as applied to each of the identified one or more contextual rules for each of the at least one payment cryptograms; and transmitting, by a transmitter of the processing server, the determined approval or denial of the proposed payment transaction. <br /> [FR]  Cette invention concerne un procédé de traitement de cryptogrammes contextuels, consistant à : recevoir, par un récepteur ...";WO;;A;US;USA
2543;WO002019145826A1;16.01.2019;"CIAGLIA MASSIMO, IT; MUNGO ELIO, IT";POLEECY INSURTECH S R L S, IT; [EN] METHOD FOR SUBSCRIBING INSURANCE POLICIES FROM GEOLOCATED MOBILE DEVICES WITH CONTRACTING ON A DISTRIBUTED DATABASE  [FR] PROCÉDÉ DE SOUSCRIPTION À DES CONTRATS D'ASSURANCE À PARTIR DE DISPOSITIFS ...;" [EN]  Method and system for subscribing insurance policies from geolocated mobile devices with contracting on a distributed database, characterized in that it consists of an application for mobile devices (400) and a back-end infrastructure (200), said system using geolocation and the digital channel to allow customers to select the most suitable policy and finalize the purchase; said system allowing: a) selecting from a plurality of policies categorized or automatically suggested according to user preferences; b) reserving special contractual conditions; c) entering the necessary documents from a mobile device (400); d) purchasing policies online from the mobile application; said system comprising: (A) a mobile application that implements: search mode (110) and automatic proposal mode; automatic management and verification of the validity of the payment; immediate activation of the policy; (B) a central infrastructure comprising: user (215) and insurance policy (216) databases; a policy-position ...";WO;;A;IT;Italien
2544;WO002019145799A1;04.01.2019;"AGMON TAMIR, IL; BATTAT DIKLA, IL; COHEN LEVY, IL; ROZEN LIMOR, IL";"AGMON TAMIR, IL; BATTAT DIKLA, IL; COHEN LEVY, IL; ROZEN LIMOR, IL; SEAMLESS LOGIC SOFTWARE LTD, GB"; [EN] SYSTEM AND METHOD FOR DECENTRALIZED VALIDATION OF DATA EXCHANGE IN A COMPUTER NETWORK  [FR] SYSTÈME ET PROCÉDÉ DE VALIDATION DÉCENTRALISÉE D'ÉCHANGE DE DONNÉES DANS UN RÉSEAU INFORMATIQUE;" [EN]  A method of data conversion in a computer network comprising a plurality of computing nodes, each computing node comprising a processor, the method comprising: receiving by at least one processor, a plurality of requests for conversion between tokens with different data types; determining a first request corresponding to a first conversion from a first token data type to a second token data type and a second request corresponding to a second conversion from the second token data type to the first token data type; assigning a first node of the computer network to: receive a first amount of the first token data type from a first computerized device; and exchange the first amount of first token data type with a first amount of a conversion token data type; and assigning a second node of the computer network to: receive a second amount of second token data type from a second computerized device; and exchange the second amount of second token data type with a second amount of the conversion ...";WO;;A;GB;Vereinigtes Königreich
2545;WO002019144978A2;20.05.2019;LI ZHIGUO, CN;ALIBABA GROUP HOLDING LTD, CN; [EN] IDENTIFYING COPYRIGHTED MATERIAL USING EMBEDDED COPYRIGHT INFORMATION  [FR] IDENTIFICATION DE MATÉRIEL PROTÉGÉ PAR LE DROIT D'AUTEUR AU MOYEN D'INFORMATIONS DE DROIT D'AUTEUR INTÉGRÉES;" [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for identifying copyrighted material based on embedded copyright information. One of the methods includes generating, by a computing device, a unique identifier (ID) based on copyright information associated with digital content, wherein the copyright information and the digital content are recorded on a blockchain of a blockchain network; identifying a plurality of color values associated with one or more color attributes of at least a portion of the digital content; and embedding the unique ID in the digital content by changing one or more color values of the plurality of color values to be representative of the unique ID, wherein the embedding produces information-embedded digital content that enables retrieval of the copyright information from the blockchain based on the unique ID, and wherein a visual difference between the digital content and the information-embedded ...";WO;;A;CN;China
2546;WO002019144977A2;20.05.2019;LI ZHIGUO, CN;ALIBABA GROUP HOLDING LTD, CN; [EN] IDENTIFYING COPYRIGHTED MATERIAL USING EMBEDDED TIMESTAMPED COPYRIGHT INFORMATION  [FR] IDENTIFICATION DE MATÉRIEL PROTÉGÉ PAR LE DROIT D'AUTEUR AU MOYEN D'INFORMATIONS DE DROIT D'AUTEUR INTÉGRÉES ...;" [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for identifying copyrighted material based on embedded copyright information. One of the methods includes generating, by a computing device, a timestamp indicating a time at which an update to a text segment within the textual content is performed to provide an updated text segment; generating, by the computing device, a unique identifier (ID) based on the timestamp and copyright information associated with the textual content, wherein the timestamp, the textual content, the updated text segment, and the copyright information are recorded on a blockchain of a blockchain network; and embedding, by the computing device, the unique ID in at least a portion of the updated text segment to provide an information-embedded updated text segment that enables retrieval of the copyright information associated with the updated text segment from the blockchain based on the unique ...";WO;;A;CN;China
2547;WO002019144234A1;25.01.2019;LINDQUIST ERIK DEAN, CA;CRYPTOLIQUIDITY HOLDINGS LTD, GB; [EN] METHODS AND SYSTEMS FOR ENABLING INTEROPERABILITY OF INDEPENDENT HASH-BASED AUTHENTICATION TECHNOLOGIES  [FR] SYSTÈMES ET PROCÉDÉS PERMETTANT L'INTEROPÉRABILITÉ DE TECHNOLOGIES D'AUTHENTIFICATION ...;" [EN]  Described are various embodiments of a system for enabling interoperation of a plurality of distributed hash function based ledgers, each said distributed hash function based ledger for recording transactions relating to at least some of the following system assets: digital coins, digital tokens, digital contracts, physical assets, non-digital currencies, the system comprising: a plurality of networked peer nodes, said networked peer nodes for providing access to one or more distributed hash function based ledgers; wherein each of the plurality of distributed hash function based ledgers record transactions of system assets uniquely associated with one of a plurality of functional asset units; wherein system assets can be logically linked as a way of determining value. <br /> [FR]  La présente invention concerne dans divers modes de réalisation, un système permettant l'interfonctionnement d'une pluralité de registres basés sur une fonction de hachage distribué, chaque dit registre ...";WO;;A;GB;Vereinigtes Königreich
2548;WO002019144185A1;23.01.2019;CHAZAN MARK MERVYN, AU;EFTSURE PTY LTD, AU; [EN] A VENDOR MANAGEMENT SYSTEM AND METHOD  [FR] SYSTÈME ET PROCÉDÉ DE GESTION DE VENDEURS; [EN]  The present invention relates to a vendor management system and method which facilitates automation of the interaction between suppliers and customers, particularly in a business to business context. A vendor management platform is provided which facilitates on boarding of vendor data for multiple suppliers, based on request by customers to on board suppliers. The platform may comprise a database which stores vendor data. Systems and processes are provided for verifying the vendor data, based on vendor database and also cross-checks with third party systems. <br /> [FR]  La présente invention se rapporte à un système et à un procédé de gestion de vendeurs, qui facilitent l'automatisation de l'interaction entre des fournisseurs et des clients, en particulier dans un contexte d'entreprise à entreprise. Une plate-forme de gestion de vendeurs selon l'invention permet l'intégration de données de vendeurs pour de multiples fournisseurs, sur la base d'une demande formulée par des clients ...;WO;;A;AU;Australien
2549;WO002019144156A1;22.01.2019;"GHAMSARI NIMA, US; MARINELLI EUGENE, US; YU MICHAEL, US";BLEND LABS INC, US; [EN] METHOD AND APPARATUS FOR A CONSUMER CONTROLLED, DECENTRALIZED FINANCIAL PROFILE  [FR] PROCÉDÉ ET APPAREIL POUR UN PROFIL FINANCIER DÉCENTRALISÉ COMMANDÉ PAR LE CLIENT; [EN]  The system provides a method of storing the financial data of a consumer in a lockbox on a blockchain. The financial data is written to a lockbox by a writer (e.g. credit bureau, financial institution, data provider). The data is read by a reader (e.g. lender, investor, and the like). The blockchain technology provides security and auditing so that the information can be trusted, and any modifications can be identified and confirmed. The lockbox comprises a smart contract and SMPC group participants. <br /> [FR]  L'invention concerne un système qui fournit un procédé de stockage des données financières d'un client dans un compte collecteur sur une chaîne de blocs. Les données financières sont écrites dans un compte collecteur par un écrivant (par exemple bureau de crédit, institution financière, fournisseur de données). Les données sont lues par un lecteur (par exemple prêteur, investisseur et similaire). La technologie de chaîne de blocs apporte la sécurité et la vérification, ...;WO;;A;US;USA
2550;WO002019144042A2;18.01.2019;JEVANS DAVID, US;CIPHERTRACE INC, US; [EN] DISTRIBUTED SECURITY MECHANISM FOR BLOCKCHAINS AND DISTRIBUTED LEDGERS  [FR] MÉCANISME DE SÉCURITÉ DISTRIBUÉ POUR CHAÎNES DE BLOCS ET REGISTRES DISTRIBUÉS; [EN]  Provided herein are exemplary systems and methods for creating a secure self-validating network of blockchain/distributed ledger participants. Some exemplary mechanisms support self-validation, mutual-validation, external-validation and privacy controls. Such mechanisms enable the deployment and continued operation of large scale blockchain and distributed ledger systems with a self-certifying security system. They create the ability for rules to be codified to control the rights, privileges and access of nodes depending on their self-certification and external-certification. Also provided is an audit trail of these certifications which can be used for liability claims, insurance, security analytics and forensics. <br /> [FR]  L'invention concerne des systèmes et des procédés représentatifs pour créer un réseau d'auto-validation sécurisé de participants à une chaîne de blocs/registres distribués. Certains mécanismes représentatifs prennent en charge l'auto-validation, la validation ...;WO;;A;US;USA
2551;WO002019143936A1;18.01.2019;"ANSARI AKBAR, US; FAY THOMAS, US; LONE ADNAN, US";NASDAQ INC, US; [EN] SYSTEMS AND METHODS OF DIGITAL CONTENT CERTIFICATION AND VERIFICATION USING CRYPTOGRAPHY AND BLOCKCHAIN  [FR] SYSTÈMES ET PROCÉDÉS DE CERTIFICATION ET DE VÉRIFICATION DE CONTENU NUMÉRIQUE À L'AIDE ...; [EN]  A verification computer system is provided that provides for content certification and verification of publisher content using cryptography and a blockchain, where the system generates a publisher signature as a function of a generated hash and a private key of the content publisher. <br /> [FR]  L'invention concerne un système informatique de vérification qui fournit une certification et une vérification de contenu d'un contenu d'éditeur à l'aide d'une cryptographie et d'une chaîne de blocs, le système générant une signature d'éditeur en fonction d'un hachage généré et d'une clé privée de l'éditeur de contenu. ;WO;;A;US;USA
2552;WO002019143914A1;18.01.2019;"DANQING HU, CN; YAN XUEBING, CN";ALIBABA GROUP HOLDING LTD, US; [EN] FUND FLOW METHOD AND APPARATUS, AND ELECTRONIC DEVICE  [FR] PROCÉDÉ ET APPAREIL DE FLUX DE FONDS ET DISPOSITIF ÉLECTRONIQUE; [EN]  A first member of a blockchain receives a fund flow request for a specified amount between a payer and a payee. The first member determines a fund flow route between the first member and a second member corresponding to the payee in the blockchain, where the fund flow route includes the first member, the second member, and several relay members from the blockchain. A compliance check request is initiated by the first member to at least two other members in the fund flow route, so that the at least two members concurrently perform a compliance check on a fund flow event corresponding to the fund flow request. The first member initiates a fund flow contract operation to complete the fund flow event based on the fund flow route when all compliance check results of the fund flow event of all members in the fund flow route are qualified. <br /> [FR]  Selon l'invention, un premier membre d'une chaîne de blocs reçoit une demande de flux de fonds d'une quantité spécifiée entre un payeur ...;WO;;A;US;USA
2553;WO002019143849A1;17.01.2019;"BECKER DENNY, US; BLACK TRON, US";MEDICI VENTURES INC, US; [EN] MULTI-APPROVAL SYSTEM USING M OF N KEYS TO RESTORE A CUSTOMER WALLET  [FR] SYSTÈME MULTI-APPROBATION UTILISANT M DE N CLÉS POUR RESTAURER UN PORTEFEUILLE CLIENT; [EN]  A computing system that includes processor(s), memory(s) and a network interface that communicates with a customer device and a trusted third party. The at least one network interface is configured to receive, from the customer device, identity data for a customer and a request to restore a customer wallet. The at least one processor is configured to verify the identity data for the customer received from the customer device. When the at least one processor verifies the identity data for the customer received from the customer device, the at least one network interface is configured to communicate a request for a first key associated with the customer wallet to a key repository for the trusted third party. The at least one processor is configured to restore the customer wallet using the first key associated with the customer wallet and a second key associated with the customer wallet. <br /> [FR]  La présente invention concerne un système informatique qui comprend un ou plusieurs ...;WO;;A;US;USA
2554;WO002019143731A1;16.01.2019;"HANDA SUKRIT, US; MUKHERJEE SUMAN, US; THEKADATH AJITH, US; TIDWELL TIMOTHY P, US";VISA INT SERVICE ASS, US; [EN] EVENT COMMUNICATION AND VERIFICATION THROUGH A BLOCKCHAIN NETWORK  [FR] COMMUNICATION ET VÉRIFICATION D'ÉVÉNEMENTS PAR UN RÉSEAU DE CHAÎNES DE BLOCS; [EN]  A method for verifying that event can take place before the event is executed is disclosed. A verification system is incorporated into an event processing network, such that the verification system can identify newly proposed events and determine whether they can be completed. The verification system can inform the network about verification results through distributed blockchain records. Other changes in event status can also be communicated through and stored in blockchain records <br /> [FR]  L'invention concerne un procédé permettant de vérifier qu'un événement peut avoir lieu avant l'exécution de l'événement. Un système de vérification est incorporé dans un réseau de traitement d'événements, de sorte que le système de vérification puisse identifier des événements nouvellement proposés et déterminer s'ils peuvent être achevés. Le système de vérification peut informer le réseau des résultats de la vérification par le biais d'enregistrements de chaînes de blocs distribués. D'autres ...;WO;;A;US;USA
2555;WO002019141984A1;16.01.2019;PENNINGTON NICHOLAS, GB;SETL DEVELOPMENT LTD, GB; [EN] INTERACTION BETWEEN BLOCKCHAINS  [FR] INTERACTION ENTRE CHAÎNES DE BLOCS; [EN]  A method implemented on a computing system enables an asset held on a ledger recorded on a first blockchain to be transacted on a ledger recorded on a second blockchain. An interledger transaction to transfer the asset from the first blockchain to the second blockchain is prepared. A transaction list of transactions linking the first blockchain to other blockchains is also prepared. This transaction list comprises the interledger transaction. The transaction list is then signed, and the interledger transaction and the transaction list are written to a block of the first blockchain. A second ledger transaction is obtained from the block of the first blockchain to record the asset on the second blockchain using the interledger transaction and the transaction list. A computer implemented method of transacting in an asset with respect to a secondary ledger comprising a second blockchain away from a ledger of record comprising a first blockchain using this method is also described. ...;WO;;A;GB;Vereinigtes Königreich
2556;WO002019141298A2;21.05.2019;"LI SHUBO, CN; LIANG ZHIHUA, CN; YANG XUEQING, CN; ZHANG YIXIANG, CN";ALIBABA GROUP HOLDING LTD, CN; [EN] METHODS AND DEVICES FOR STORING AND PROCESSING ELECTRONIC MEDICAL RECORD ON BLOCKCHAIN  [FR] PROCÉDÉS ET DISPOSITIFS DE STOCKAGE ET DE TRAITEMENT D'UN DOSSIER MÉDICAL ÉLECTRONIQUE SUR UNE CHAÎNE ...;" [EN]  Disclosed herein are methods, devices, and apparatuses, including computer programs stored on computer-readable media, for storing and processing electronic medical records. One of the methods includes: receiving, by a node in a blockchain system, an electronic medical record for a patient; incorporating the electronic medical record into a blockchain maintained by the blockchain system; determining, by the node, whether the electronic medical record contains a prescription; and in response to a determination that the electronic medical record contains a prescription, notifying the patient of the prescription. <br /> [FR]  L'invention concerne des procédés, des dispositifs et des appareils, y compris des programmes informatiques stockés sur des supports lisibles par ordinateur, destinés à stocker et traiter des dossiers médicaux électroniques. Un des procédés consiste à : recevoir, par un n&oelig;ud dans un système de chaîne de blocs, un dossier médical électronique pour un patient; ...";WO;;A;CN;China
2557;WO002019141297A2;20.05.2019;LI ZHIGUO, CN;ALIBABA GROUP HOLDING LTD, CN; [EN] COPYRIGHT PROTECTION BASED ON HIDDEN COPYRIGHT INFORMATION  [FR] PROTECTION DU DROIT D'AUTEUR BASÉE SUR DES INFORMATIONS DE DROIT D'AUTEUR MASQUÉES;" [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for hiding copyright information in printable materials. One of the methods includes generating, by a computing device, a unique identifier (ID) based on copyright information associated with digital content, wherein the copyright information and the digital content are recorded on a blockchain of a blockchain network; determining one or more features associated with one or more printable materials; and converting the unique ID to a digital watermark based on the one or more features, the digital watermark not being apparent to an unaided human eye when printed on the one or more printable materials and enabling retrieval of the copyright information from the blockchain based on the unique ID. <br /> [FR]  L'invention concerne des procédés, des systèmes et des appareils, y compris des programmes informatiques codés sur des supports d'enregistrement informatique, ...";WO;;A;CN;China
2558;WO002019141296A2;20.05.2019;LI ZHIGUO, CN;ALIBABA GROUP HOLDING LTD, CN; [EN] COPYRIGHT PROTECTION BASED ON HIDDEN COPYRIGHT INFORMATION  [FR] PROTECTION DU DROIT D'AUTEUR BASÉE SUR DES INFORMATIONS DE DROIT D'AUTEUR MASQUÉES;" [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for hiding copyright information in a display screen. One of the methods includes generating, by a computing device, a unique identifier (ID) based on copyright information associated with a digital content, wherein the copyright information and the digital content are recorded on a blockchain of a blockchain network; determining one or more attributes associated with the display screen; and converting the unique ID to a digital watermark based on the one or more attributes, the digital watermark not being apparent to an unaided human eye when displayed in the display screen and enables retrieval of the copyright information from the blockchain based on the unique ID. <br /> [FR]  L'invention concerne des procédés, des systèmes et des appareils, y compris des programmes informatiques codés sur des supports d'enregistrement informatique, destinés à masquer des informations ...";WO;;A;CN;China
2559;WO002019141295A2;20.05.2019;LI ZHIGUO, CN;ALIBABA GROUP HOLDING LTD, CN; [EN] IDENTIFYING COPYRIGHTED MATERIAL USING COPYRIGHT INFORMATION EMBEDDED IN ELECTRONIC FILES  [FR] IDENTIFICATION DE MATÉRIEL PROTÉGÉ PAR LE DROIT D'AUTEUR AU MOYEN D'INFORMATIONS DE DROIT D'AUTEUR ...;" [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for embedding copyright information in one or more pages for presenting digital content. One of the methods includes generating, by a computing device, a unique identifier (ID) based on copyright information associated with the digital content; identifying one or more attributes associated with a page design of one or more blank pages of an electronic file; embedding the unique ID in the one or more blank pages by changing the one or more attributes to be representative of the unique ID; allocating the digital content to at least one of the one or more information-embedded pages; and distributing, by the computing device, the one or more information-embedded pages allocated with the digital content to the blockchain network. <br /> [FR]  L'invention concerne des procédés, des systèmes et des appareils, y compris des programmes informatiques codés sur des supports ...";WO;;A;CN;China
2560;WO002019141294A2;20.05.2019;LI ZHIGUO, CN;ALIBABA GROUP HOLDING LTD, CN; [EN] IDENTIFYING COPYRIGHTED MATERIAL USING COPYRIGHT INFORMATION EMBEDDED IN TABLES  [FR] IDENTIFICATION DE MATÉRIEL PROTÉGÉ PAR LE DROIT D'AUTEUR AU MOYEN D'INFORMATIONS DE DROIT D'AUTEUR INTÉGRÉES ...;" [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for identifying copyrighted material based on embedded copyright information. One of the methods includes generating, by a computing device, a unique identifier (ID) based on copyright information associated with the digital content, wherein the copyright information and the digital content are recorded on a blockchain of a blockchain network; identifying, by the computing device, one or more attributes associated with a table; embedding, by the computing device, the unique ID in the table by changing one or more attributes associated with the table to be representative of the unique ID, wherein the embedding produces an information-embedded table that enables retrieval of the copyright information from the blockchain based on the unique ID, and wherein a visual difference between the table and the information-embedded table is not apparent to an unaided human eye; ...";WO;;A;CN;China
2561;WO002019141293A2;20.05.2019;LI ZHIGUO, CN;ALIBABA GROUP HOLDING LTD, CN; [EN] IDENTIFYING COPYRIGHTED MATERIAL USING EMBEDDED COPYRIGHT INFORMATION  [FR] IDENTIFICATION DE MATÉRIEL PROTÉGÉ PAR LE DROIT D'AUTEUR AU MOYEN D'INFORMATIONS DE DROIT D'AUTEUR INTÉGRÉES;" [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for identifying copyrighted material based on embedded copyright information. One of the methods includes generating, by a computing device, a unique identifier (ID) based on copyright information associated with the textual content, wherein the copyright information and the textual content are recorded on a blockchain of a blockchain network; identifying, by the computing device, one or more attributes associated with fonts used in the textual content; and embedding, by the computing device, the unique ID in the textual content by changing the one or more attributes associated with the fonts to be representative of the unique ID, wherein the embedding produces information-embedded text enables retrieval of the copyright information from the blockchain based on the unique ID, and wherein a visual difference between the textual content and the information-embedded ...";WO;;A;CN;China
2562;WO002019141292A2;20.05.2019;LI ZHIGUO, CN;ALIBABA GROUP HOLDING LTD, CN; [EN] IDENTIFYING COPYRIGHTED MATERIAL USING EMBEDDED COPYRIGHT INFORMATION  [FR] IDENTIFICATION DE MATÉRIEL PROTÉGÉ PAR LE DROIT D'AUTEUR AU MOYEN D'INFORMATIONS DE DROIT D'AUTEUR INTÉGRÉES;" [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for identifying copyrighted material based on embedded copyright information. One of the methods includes generating, by a computing device, a unique identifier (ID) based on copyright information associated with textual content, wherein the copyright information and the textual content are recorded on a blockchain of a blockchain network; identifying, by the computing device, one or more attributes associated with punctuation marks included in the textual content; and embedding, by the computing device, the unique ID in the textual content by changing the one or more attributes associated with the punctuation marks in a manner representative of the unique ID, wherein the embedding produces information-embedded text configured to enable retrieval of the copyright information from the blockchain based on the unique ID, and wherein visual difference between the textual ...";WO;;A;CN;China
2563;WO002019141291A2;20.05.2019;LI ZHIGUO, CN;ALIBABA GROUP HOLDING LTD, CN; [EN] IDENTIFYING COPYRIGHTED MATERIAL USING EMBEDDED COPYRIGHT INFORMATION  [FR] IDENTIFICATION DE MATÉRIEL PROTÉGÉ PAR LE DROIT D'AUTEUR AU MOYEN D'INFORMATIONS DE DROIT D'AUTEUR INTÉGRÉES;" [EN]  Disclosed herein are methods, systems, and apparatus, including computer programs encoded on computer storage media, for identifying copyrighted material based on embedded copyright information. One of the methods includes generating, by a computing device, a unique identifier (ID) based on copyright information associated with the textual content, wherein the text and the copyright information are recorded on a blockchain of a blockchain network; adding, by the computing device, one or more function words to the textual content without altering a meaning of the textual content; and embedding, by the computing device, the unique ID in the function words to produce an information-embedded textual content that enables retrieval of the copyright information from the blockchain based on the unique ID. <br /> [FR]  L'invention concerne des procédés, des systèmes et des appareils, y compris des programmes informatiques encodés sur des supports d'enregistrement informatique, destinés ...";WO;;A;CN;China
